artist,title,key,BPM,Camelot,Popularity,energy,danceability,happiness,accousticness,instrumentalness,liveness,speechiness,loudness
Rihanna,S&M,C# Major,128, 3B,83,68,77,84,1,0,9,4,4
Pitbull,Hotel Room Service,C# Major,126, 3B,75,63,85,74,1,0,7,23,23
Autumn!,Still the Same,A♭ Major,138, 4B,63,52,76,9,62,0,9,45,45
"B.o.B, Hayley Williams",Airplanes (feat. Hayley Williams of Paramore),F# Minor,93, 11A,79,87,66,38,11,0,4,12,12
Gunna,fukumean,C# Minor,130, 12A,95,62,85,22,12,0,28,9,9
"Kygo, Maty Noyes",Stay (feat. Maty Noyes),A♭ Major,103, 4B,68,74,65,38,4,0,17,4,4
"JACKBOYS, Pop Smoke, Travis Scott",GATTI,D Major,143, 10B,77,68,59,47,14,0,16,34,34
Pixies,Hey,G Major,100, 9B,71,37,59,31,0,1,32,3,3
Metallica,Fuel,C# Major,107, 3B,72,95,49,59,0,0,3,5,5
George Michael,Careless Whisper,D Minor,153, 7A,84,63,57,80,13,0,27,4,4
The White Stripes,The Hardest Button to Button,E Minor,128, 9A,66,52,69,57,1,62,9,7,7
"Jessie J, B.o.B, Shux",Price Tag - Shux Remix feat. B.o.B.,F Major,88, 7B,27,92,58,77,8,0,39,19,19
Guns N' Roses,Knockin' On Heaven's Door,F# Major,132, 2B,81,74,50,38,2,0,11,4,4
"Zedd, Maren Morris, Grey",The Middle,G Major,107, 9B,82,66,75,44,17,0,11,4,4
Alanis Morissette,Hand in My Pocket - 2015 Remaster,C Major,92, 8B,71,66,66,67,14,0,10,2,2
The White Stripes,Fell In Love With a Girl,E Minor,96, 9A,75,98,36,30,71,0,94,11,11
Alice In Chains,Heaven Beside You,B♭ Minor,111, 3A,64,72,55,56,0,0,12,3,3
Travis Scott,I KNOW ?,F Minor,118, 4A,93,62,93,82,2,0,10,5,5
SSGKobe,thrax,C# Minor,128, 12A,58,60,56,52,18,0,10,15,15
Miley Cyrus,We Can't Stop,C# Minor,80, 12A,81,62,61,48,1,0,37,3,3
The Smiths,Pretty Girls Make Graves - 2011 Remaster,F# Minor,116, 11A,72,66,61,78,1,0,20,3,3
Chris Isaak,Wicked Game,A Major,112, 11B,60,29,67,35,69,1,7,3,3
Coldplay,Hymn for the Weekend,C Minor,90, 5A,85,69,49,41,21,0,33,4,4
Temple Of The Dog,Say Hello 2 Heaven,C Major,148, 8B,59,65,31,32,8,0,37,3,3
"Classified, B.o.B",Higher,D Major,92, 10B,38,76,69,35,0,0,10,6,6
Tracy Chapman,Fast Car,E Minor,104, 9A,83,29,71,19,31,0,13,4,4
"Jonas Blue, William Singe",Mama,B Minor,104, 10A,76,79,74,57,10,0,5,4,4
Blur,Coffee & TV,D Major,122, 10B,65,74,74,71,5,23,10,4,4
"The Chainsmokers, 5 Seconds of Summer",Who Do You Love,E♭ Major,140, 5B,72,85,51,48,1,0,21,5,5
Black Sabbath,N.I.B.,E Minor,103, 9A,66,56,48,43,8,0,13,6,6
Pixies,Ana,A♭ Minor,106, 1A,63,42,66,35,3,2,9,3,3
"P!nk, Nate Ruess",Just Give Me a Reason (feat. Nate Ruess),D Major,95, 10B,84,55,78,44,35,0,13,5,5
"B.o.B, Trey Songz",Castles (feat. Trey Songz),B♭ Major,93, 6B,34,92,73,50,5,0,7,5,5
Audioslave,Cochise,A Major,80, 11B,42,87,45,43,0,0,6,6,6
Charlie Puth,Attention,E♭ Minor,100, 2A,85,61,78,80,11,0,13,5,5
"Lawson, B.o.B",Brokenhearted,A Minor,178, 8A,35,88,45,85,2,0,9,9,9
Rage Against The Machine,Testify,G Major,118, 9B,67,98,47,50,3,0,36,7,7
"The Chainsmokers, Halsey",Closer,A♭ Major,95, 4B,86,52,75,66,41,0,11,3,3
Adele,Someone Like You,A Major,135, 11B,47,32,56,29,89,0,10,3,3
Joy Division,Love Will Tear Us Apart - 2020 Remaster,D Major,147, 10B,74,92,53,90,0,77,13,4,4
Niall Horan,Slow Hands,C Major,86, 8B,79,43,74,85,1,0,6,5,5
4 Non Blondes,Old Mr. Heffer,A Major,116, 11B,35,82,58,90,22,0,15,7,7
SahBabii,Squidrific,C Minor,74, 5A,54,36,75,23,36,0,8,13,13
Playboi Carti,Long Time - Intro,E Minor,144, 9A,76,86,47,36,28,0,83,4,4
"The Chainsmokers, Florida Georgia Line",Last Day Alive,C Major,145, 8B,50,71,44,24,6,0,9,4,4
Audioslave,Show Me How to Live,A Major,89, 11B,45,85,43,37,0,0,16,5,5
Lorde,Royals,G Major,85, 9B,40,42,62,36,8,0,29,16,16
Nirvana,Serve The Servants,B♭ Major,120, 6B,64,90,44,67,0,3,19,4,4
Sean Paul,Temperature,C Minor,125, 5A,83,60,95,82,11,0,7,7,7
Whitney Houston,I Will Always Love You,E Major,68, 12B,80,21,33,11,85,0,8,3,3
Alice In Chains,We Die Young,C# Major,126, 3B,68,94,49,53,0,0,36,7,7
"Mike Posner, Seeb",I Took A Pill In Ibiza - Seeb Remix,G Minor,102, 6A,82,71,66,71,4,0,8,11,11
Rita Ora,Your Song,C# Major,118, 3B,68,57,85,96,13,0,6,5,5
"Playboi Carti, Young Thug",Choppa Won't Miss (feat. Young Thug),C Major,163, 8B,63,66,86,61,2,0,12,32,32
"The Chainsmokers, Drew Love",Somebody,B♭ Minor,203, 3A,62,63,32,32,19,0,10,5,5
Shawn Mendes,Treat You Better,B♭ Minor,83, 3A,88,82,44,75,11,0,11,34,34
John Lennon,Woman - Remastered 2010,E♭ Major,80, 5B,73,66,59,75,38,0,4,2,2
"Calvin Harris, Ellie Goulding",Outside (feat. Ellie Goulding),D Minor,128, 7A,84,82,65,42,21,0,32,4,4
Fleetwood Mac,Go Your Own Way - 2004 Remaster,F Major,135, 7B,82,95,58,80,2,0,7,4,4
Pearl Jam,Alive,B Minor,75, 10A,78,88,28,60,1,0,40,4,4
"Kygo, Whitney Houston",Higher Love,A♭ Major,104, 4B,74,68,69,40,2,0,10,3,3
Queens of the Stone Age,I Sat by the Ocean,A♭ Minor,117, 1A,69,78,52,90,0,0,11,4,4
Justin Bieber,Sorry,C Minor,100, 5A,84,76,65,41,8,0,30,5,5
Soundgarden,Blow Up The Outside World,A Major,140, 11B,60,53,33,15,0,21,13,4,4
Natasha Bedingfield,Unwritten,F Major,100, 7B,80,80,71,63,1,0,8,4,4
P!nk,So What,B Minor,126, 10A,79,87,53,46,0,0,24,4,4
U2,With Or Without You,D Major,110, 10B,83,43,54,11,0,36,14,3,3
Lady Gaga,Paparazzi,F Minor,115, 4A,78,69,76,40,11,0,9,4,4
"ABRA, Playboi Carti, Boys Noize",Unlock It (feat. Playboi Carti),E♭ Major,156, 5B,58,87,73,90,5,0,13,4,4
Pixies,Tame,C Major,138, 8B,57,59,57,92,0,79,28,7,7
The Calling,Wherever You Will Go,D Major,112, 10B,78,72,56,37,4,0,12,3,3
Nirvana,Sliver,C Major,141, 8B,65,68,43,42,0,0,7,5,5
"Jessie J, B.o.B",Price Tag,F Major,175, 7B,54,84,64,69,3,0,18,20,20
Maroon 5,Animals,E Minor,190, 9A,83,74,28,33,0,0,59,9,9
Pixies,Where Is My Mind? - Remastered,E Major,81, 12B,80,44,52,25,2,0,8,4,4
"OneRepublic, B.o.B",Good Life - Remix featuring B.O.B.,F# Major,95, 2B,32,84,67,60,3,0,28,7,7
Coldplay,Clocks,F Minor,131, 4A,84,75,58,26,60,1,18,3,3
Nirvana,Smells Like Teen Spirit - Remastered,C# Major,117, 3B,57,92,49,69,0,0,9,6,6
Nirvana,Something In The Way - Remastered,A♭ Major,105, 4B,48,23,43,6,82,37,11,3,3
Alice In Chains,Man in the Box,A♭ Major,106, 4B,77,79,36,76,0,0,10,5,5
"T.I., Rihanna",Live Your Life,B Minor,160, 10A,77,86,38,48,7,0,21,26,26
"Travis Scott, James Blake, 21 Savage",TIL FURTHER NOTICE (feat. James Blake & 21 Savage),E♭ Minor,77, 2A,82,66,65,15,17,1,13,12,12
The Chainsmokers,Paris,D Major,100, 10B,77,66,65,22,2,0,9,3,3
"Far East Movement, The Cataracs, DEV",Like A G6,E♭ Major,125, 5B,76,84,44,78,1,0,12,45,45
Imagine Dragons,Thunder,C Major,168, 8B,88,82,61,29,1,13,15,4,4
Yusuf / Cat Stevens,Wild World,C Major,153, 8B,81,54,48,57,35,0,11,3,3
Cher Lloyd,Want U Back,A Major,98, 11B,66,89,70,57,7,0,47,8,8
